               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068487,            0.033179,                   0,             0.29871,             0.46512,             0.28472,            0.088492,            0.025585,            0.017113,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.039578,            0.027741,                   0,             0.59139,             0.88956,             0.74444,             0.53025,            0.017192,            0.018555,                   0,            0.066663,           0.0036634,           0.0036634
                   2,            0.037308,            0.018682,                   0,             0.54748,             0.87375,             0.76289,             0.26325,            0.015823,           0.0079069,                   0,            0.049489,           0.0054891,           0.0054891
                   3,            0.038466,            0.015285,                   0,              0.4932,              0.9085,             0.72003,             0.69098,            0.028838,           0.0079158,                   0,            0.032277,           0.0072772,           0.0072772
                   4,            0.036822,            0.013491,                   0,             0.47741,             0.72538,             0.48897,             0.40883,            0.031155,           0.0080515,                   0,            0.015028,           0.0090278,           0.0090278
                   5,             0.03445,            0.012836,                   0,             0.55501,             0.99864,             0.62451,             0.39907,            0.020625,           0.0054516,                   0,            0.009505,            0.009505,            0.009505
                   6,            0.029328,            0.011925,                   0,             0.59498,             0.89037,             0.62329,             0.45567,            0.026272,           0.0042685,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.027511,            0.011891,                   0,              0.9933,                   1,             0.99397,             0.99378,            0.016673,           0.0047861,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.024335,            0.010833,                   0,             0.98339,             0.98337,             0.98994,             0.39732,            0.016935,           0.0036482,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.023426,            0.010004,                   0,             0.99812,                   1,               0.995,             0.53837,            0.015319,            0.003885,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.022368,           0.0091615,                   0,             0.99881,                   1,               0.995,               0.995,            0.015149,           0.0022359,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.017943,           0.0083196,                   0,             0.99976,                   1,               0.995,             0.70812,            0.010745,           0.0023061,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.018094,           0.0086109,                   0,             0.99976,                   1,               0.995,               0.995,            0.015865,           0.0024013,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.019347,           0.0085431,                   0,             0.99975,                   1,               0.995,             0.59968,            0.008509,           0.0025752,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.017013,           0.0075585,                   0,             0.99973,                   1,               0.995,             0.67597,           0.0088433,           0.0020943,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.016772,           0.0076375,                   0,             0.99975,                   1,               0.995,               0.995,            0.011803,           0.0026773,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.01685,           0.0074474,                   0,             0.99973,                   1,               0.995,               0.995,           0.0051054,           0.0019646,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.016452,           0.0075853,                   0,             0.99977,                   1,               0.995,               0.995,            0.016701,           0.0029971,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.014265,           0.0071391,                   0,             0.99978,                   1,               0.995,             0.90341,           0.0042041,           0.0032166,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.012663,           0.0063296,                   0,             0.99975,                   1,               0.995,             0.58798,            0.012755,           0.0026957,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.014267,           0.0062865,                   0,             0.99976,                   1,               0.995,               0.995,           0.0089706,             0.00224,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.016296,           0.0066632,                   0,             0.99977,                   1,               0.995,               0.995,           0.0050351,           0.0015946,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.011415,           0.0060188,                   0,             0.99978,                   1,               0.995,             0.85756,           0.0089148,           0.0025396,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.012945,           0.0059004,                   0,             0.99981,                   1,               0.995,             0.90879,           0.0041964,           0.0024228,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.012162,           0.0062116,                   0,             0.99981,                   1,               0.995,               0.995,           0.0029548,           0.0021256,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.012451,           0.0063724,                   0,              0.9998,                   1,               0.995,             0.69781,           0.0078405,           0.0021806,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.011686,            0.005708,                   0,              0.9998,                   1,               0.995,               0.995,           0.0013807,           0.0017877,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.01174,           0.0053697,                   0,              0.9998,                   1,               0.995,               0.995,           0.0076114,            0.001883,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.010802,           0.0060069,                   0,             0.99979,                   1,               0.995,             0.81638,           0.0046788,           0.0017673,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.011095,            0.005644,                   0,              0.9998,                   1,               0.995,               0.796,           0.0063502,           0.0019219,                   0,            0.007228,            0.007228,            0.007228
                  30,           0.0097733,           0.0057197,                   0,              0.9998,                   1,               0.995,               0.995,           0.0014199,           0.0013777,                   0,            0.007129,            0.007129,            0.007129
                  31,           0.0097492,            0.005426,                   0,             0.99981,                   1,               0.995,              0.8955,           0.0040594,           0.0018892,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.010099,           0.0051263,                   0,             0.99981,                   1,               0.995,               0.796,            0.004755,            0.001887,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.013773,           0.0057155,                   0,             0.99981,                   1,               0.995,               0.995,           0.0052127,            0.001212,                   0,            0.006832,            0.006832,            0.006832
                  34,           0.0097008,           0.0048131,                   0,             0.99981,                   1,               0.995,               0.995,            0.004465,           0.0012227,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.008903,           0.0050814,                   0,             0.99982,                   1,               0.995,              0.8955,           0.0068626,           0.0017468,                   0,            0.006634,            0.006634,            0.006634
                  36,           0.0097839,           0.0045664,                   0,             0.99982,                   1,               0.995,             0.91409,           0.0046548,            0.001019,                   0,            0.006535,            0.006535,            0.006535
                  37,           0.0092154,           0.0049548,                   0,             0.99981,                   1,               0.995,              0.8955,           0.0069126,           0.0011392,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.010041,           0.0048696,                   0,             0.99981,                   1,               0.995,             0.77818,           0.0091009,           0.0010928,                   0,            0.006337,            0.006337,            0.006337
                  39,           0.0084541,           0.0044139,                   0,             0.99981,                   1,               0.995,             0.85811,           0.0041939,           0.0010409,                   0,            0.006238,            0.006238,            0.006238
                  40,           0.0093225,           0.0052086,                   0,             0.99981,                   1,               0.995,             0.89749,           0.0034638,           0.0012016,                   0,            0.006139,            0.006139,            0.006139
                  41,           0.0085333,           0.0048707,                   0,             0.99981,                   1,               0.995,               0.995,           0.0047349,          0.00093695,                   0,             0.00604,             0.00604,             0.00604
                  42,           0.0083178,           0.0045364,                   0,             0.99981,                   1,               0.995,               0.995,            0.003742,           0.0010872,                   0,            0.005941,            0.005941,            0.005941
                  43,           0.0090992,           0.0046054,                   0,             0.99981,                   1,               0.995,               0.995,            0.002272,           0.0006687,                   0,            0.005842,            0.005842,            0.005842
                  44,           0.0081085,           0.0046556,                   0,             0.99981,                   1,               0.995,             0.83963,           0.0055264,          0.00089728,                   0,            0.005743,            0.005743,            0.005743
                  45,           0.0088349,           0.0051059,                   0,             0.99981,                   1,               0.995,             0.81855,           0.0055484,          0.00094397,                   0,            0.005644,            0.005644,            0.005644
                  46,           0.0071948,            0.004383,                   0,             0.99981,                   1,               0.995,               0.995,           0.0058518,           0.0010626,                   0,            0.005545,            0.005545,            0.005545
                  47,           0.0083401,           0.0043858,                   0,             0.99981,                   1,               0.995,             0.89558,           0.0048726,           0.0010456,                   0,            0.005446,            0.005446,            0.005446
                  48,           0.0087129,           0.0044917,                   0,             0.99981,                   1,               0.995,               0.995,           0.0060956,            0.001063,                   0,            0.005347,            0.005347,            0.005347
